#Drift velocities. Number of iterations per tau-value: 1000. Number of tau-values: 40
#tau_min: 0.01. tau_max: 1.5.
# tau        v_mean               v_std
0.01 -1.25207e-05 1.29859e-05
0.0482051 8.64331e-06 0.000125774
0.0864103 0.000240881 0.000426222
0.124615 0.000573282 0.000659079
0.162821 0.0009001 0.000767388
0.201026 0.00113402 0.000895033
0.239231 0.00135943 0.000961748
0.277436 0.00153394 0.00103798
0.315641 0.00155 0.00101389
0.353846 0.00161646 0.00102463
0.392051 0.00170158 0.00106901
0.430256 0.00166726 0.00106509
0.468462 0.00169226 0.00102371
0.506667 0.00162293 0.00104436
0.544872 0.00168617 0.00100696
0.583077 0.00164195 0.0010071
0.621282 0.00163831 0.000987368
0.659487 0.00164664 0.0009765
0.697692 0.00160529 0.000995642
0.735897 0.00151623 0.000956856
0.774103 0.00160169 0.000971059
0.812308 0.00151693 0.000999909
0.850513 0.00154477 0.00095102
0.888718 0.00144691 0.00092083
0.926923 0.00152612 0.000930289
0.965128 0.00143139 0.000899407
1.00333 0.0014043 0.000928445
1.04154 0.00131256 0.000889433
1.07974 0.00132254 0.000898253
1.11795 0.00139375 0.000901331
1.15615 0.00120952 0.000878436
1.19436 0.00128239 0.000847304
1.23256 0.00126327 0.000827721
1.27077 0.00128302 0.000849673
1.30897 0.00113084 0.000810537
1.34718 0.00119492 0.000810032
1.38538 0.00114861 0.00087065
1.42359 0.00117066 0.000826014
1.46179 0.00122923 0.000814364
1.5 0.000989579 0.00081041
