#Drift velocities. Number of iterations per tau-value: 1000. Number of tau-values: 20
#tau_min: 0.1. tau_max: 4.
# tau        v_mean        v_std
0.1 0.000346728 0.000485544
0.305263 0.00158484 0.00103105
0.510526 0.0016581 0.00101766
0.715789 0.00160262 0.000992931
0.921053 0.00152824 0.000934388
1.12632 0.00134762 0.000904649
1.33158 0.00115291 0.00084906
1.53684 0.00105779 0.000786403
1.74211 0.000916229 0.000790711
1.94737 0.000922663 0.0007495
2.15263 0.000760822 0.000765955
2.35789 0.000759881 0.000727138
2.56316 0.000759732 0.00072062
2.76842 0.000573321 0.000677495
2.97368 0.00060421 0.000682486
3.17895 0.000596905 0.000705943
3.38421 0.000594827 0.000678253
3.58947 0.000585972 0.000699012
3.79474 0.000403432 0.00068271
4 0.000403829 0.000668456
