#Drift velocities. Number of iterations per tau-value: 1000. Number of tau-values: 10
#tau_min: 0.1. tau_max: 3.
# tau        v_mean        v_mean_std        v_std
0.1 0.000346728 4.85544e-07 0.000485544
0.422222 0.00161005 1.04489e-06 0.00104489
0.744444 0.00152525 9.86686e-07 0.000986686
1.06667 0.00135287 8.76249e-07 0.000876249
1.38889 0.00118779 8.40513e-07 0.000840513
1.71111 0.00107785 7.60547e-07 0.000760547
2.03333 0.00095598 7.92056e-07 0.000792056
2.35556 0.000774648 7.27019e-07 0.000727019
2.67778 0.000576176 7.11322e-07 0.000711322
3 0.000564759 6.7206e-07 0.00067206
